X,Y,annualmean,annualvariance,annualstddev,directionannualmean,objectid
-10846970.0142,3118475.1659,0.02100818,0.00020125,0.01418612,305.85287366,145490
-10846970.0142,3128470.1101,0.01923838,0.00017309,0.01315653,14.7974353,145491
-10838064.4539,3068606.2958,0.050113,0.00121584,0.03486896,328.89515437,145492
-10838064.4539,3078566.0544,0.0846442,0.00350541,0.05920646,348.51651324,145493
-10838064.4539,3108487.3178,0.0568688,0.00160395,0.0400493,327.80518723,145494
-10838064.4539,3118475.1659,0.11348813,0.00618488,0.07864403,330.51036523,145495
-10838064.4539,3128470.1099,0.11857323,0.00665427,0.08157369,1.25475697,145496
-10838064.4539,3138472.1796,0.05793021,0.00152403,0.03903884,14.00166808,145497
-10829158.8936,3018911.1618,0.05052468,0.00135669,0.0368333,344.63549595,145498
-10829158.8936,3028836.4638,0.09973506,0.00551791,0.07428265,0,145499
-10829158.8936,3038768.5993,0.09154336,0.0046925,0.06850179,0,145500
-10829158.8936,3048707.5974,0.037788,0.00076133,0.02759217,13.28552372,145501
-10829158.8936,3078566.0544,0.12510112,0.00828082,0.090999,335.96141211,145502
-10829158.8936,3088532.7915,0.1446362,0.0109138,0.10446913,18.5206138,145503
-10829158.8936,3098506.536,0.1568663,0.01357177,0.11649792,3.91454701,145504
-10829158.8936,3108487.3178,0.17489648,0.01591664,0.12616117,344.84332703,145505
-10829158.8936,3118475.1659,0.16514464,0.01456129,0.12067018,334.25542495,145506
-10829158.8936,3128470.11,0.15668121,0.0138592,0.1177251,2.6524341,145507
-10829158.8936,3138472.1796,0.15503113,0.01379263,0.11744204,31.3838946,145508
-10829158.8936,3148481.4044,0.14743364,0.01312965,0.11458468,2.25504892,145509
-10829158.8936,3158497.8142,0.14380141,0.0113888,0.10671833,349.14910447,145510
-10829158.8937,3168521.439,0.12528478,0.00757589,0.08703961,354.98043254,145511
-10829158.8936,3178552.3087,0.06471593,0.00180273,0.04245852,25.45001776,145512
-10829158.8936,3218748.8385,0.00574364,3.133e-05,0.00559744,90,145513
-10820253.3334,2999080.9434,0.04965297,0.00102176,0.03196502,330.14164277,145514
-10820253.3334,3008992.6645,0.09387596,0.00358522,0.05987668,346.72311692,145515
-10820253.3334,3018911.1618,0.06371665,0.00157597,0.03969846,3.7640336,145516
-10820253.3334,3048707.5974,0.06658082,0.00225048,0.04743925,1.60186223,145517
-10820253.3334,3058653.4864,0.14783451,0.01178397,0.10855401,350.53687054,145518
-10820253.3334,3068606.2958,0.17909901,0.0162852,0.12761347,338.79536496,145519
-10820253.3334,3078566.0544,0.17192379,0.01549288,0.12447038,346.29931709,145520
-10820253.3334,3088532.7915,0.17232741,0.01502402,0.12257249,16.03423055,145521
-10820253.3334,3098506.5361,0.17078121,0.01533601,0.12383865,13.65623344,145522
-10820253.3334,3108487.3179,0.16752593,0.01522344,0.12338331,2.17248533,145523
-10820253.3335,3118475.1659,0.16071923,0.01448724,0.12036296,357.70455338,145524
-10820253.3334,3128470.11,0.15972403,0.01425528,0.11939549,26.91187609,145525
-10820253.3334,3138472.1797,0.16242997,0.01449801,0.12040769,41.45814833,145526
-10820253.3335,3148481.4045,0.1615423,0.01467219,0.12112883,9.84590167,145527
-10820253.3334,3158497.8141,0.15746534,0.014098,0.11873499,324.94096864,145528
-10820253.3334,3168521.439,0.15400526,0.01357822,0.1165256,330.09940025,145529
-10820253.3334,3178552.3086,0.15561979,0.01331091,0.1153729,55.50089011,145530
-10820253.3335,3188590.4531,0.11097816,0.00695275,0.08338316,325.84747953,145531
-10820253.3334,3198635.9028,0.05341283,0.00139772,0.0373861,14.46114855,145532
-10820253.3334,3218748.8385,0.01792217,0.00025021,0.0158181,90,145533
-10811347.7732,2999080.9434,0.1674466,0.01543659,0.12424406,331.84921285,145534
-10811347.7731,3008992.6644,0.15952103,0.01481119,0.12170123,332.15090277,145535
-10811347.7731,3018911.1618,0.16175744,0.01485371,0.12187582,15.63505207,145536
-10811347.7731,3028836.4638,0.16506125,0.01657195,0.1287321,1.40608085,145537
-10811347.7731,3038768.5995,0.17517035,0.01801284,0.13421191,0.52107603,145538
-10811347.7731,3048707.5974,0.18494488,0.01861648,0.1364422,355.08065413,145539
-10811347.7731,3058653.4863,0.1844064,0.01825225,0.1351009,348.03171293,145540
-10811347.7731,3068606.2958,0.17562646,0.01661578,0.1289022,350.93704098,145541
-10811347.7731,3078566.0544,0.16740221,0.01507858,0.12279487,0.80676758,145542
-10811347.7731,3088532.7915,0.16726938,0.0142395,0.11932936,21.97810823,145543
-10811347.7731,3098506.5361,0.1656979,0.01396151,0.11815884,27.3897266,145544
-10811347.7731,3108487.3177,0.1617116,0.01362118,0.11670982,28.54168632,145545
-10811347.7731,3118475.166,0.15902731,0.0132645,0.11517161,37.43582779,145546
-10811347.7732,3128470.11,0.15965793,0.01332431,0.11543097,51.06293808,145547
-10811347.7731,3138472.1796,0.16125602,0.01368006,0.11696179,54.2045398,145548
-10811347.7731,3148481.4044,0.16137139,0.01401849,0.11839972,38.1414428,145549
-10811347.773,3158497.8142,0.16063942,0.01406331,0.11858884,357.31804626,145550
-10811347.7731,3168521.439,0.16205229,0.01414791,0.11894498,6.66223999,145551
-10811347.7731,3178552.3086,0.16645814,0.01479236,0.12162383,54.74487043,145552
-10811347.7731,3188590.4531,0.15749834,0.01384376,0.1176595,279.23582936,145553
-10811347.7731,3198635.9028,0.15779172,0.01357452,0.11650976,6.08485393,145554
-10811347.7732,3208688.6878,0.12868543,0.00888665,0.09426905,348.97867051,145555
-10802442.2129,2999080.9433,0.20653497,0.02513422,0.15853775,348.0468219,145556
-10802442.2129,3008992.6646,0.19595738,0.0228506,0.15116416,346.30518193,145557
-10802442.2128,3018911.1618,0.18973137,0.02066445,0.14375135,10.0569542,145558
-10802442.2129,3028836.4637,0.18609989,0.02002336,0.14150392,3.76458803,145559
-10802442.2129,3038768.5994,0.18406481,0.01921448,0.13861629,2.6048348,145560
-10802442.2129,3048707.5973,0.18043657,0.01797617,0.13407524,357.92014506,145561
-10802442.2129,3058653.4863,0.17392164,0.01628878,0.12762751,359.06551881,145562
-10802442.2128,3068606.2958,0.1676641,0.01461793,0.12090465,6.03128809,145563
-10802442.2129,3078566.0544,0.16310099,0.013382,0.11568058,16.40852884,145564
-10802442.2128,3088532.7915,0.16291399,0.01267492,0.11258293,28.53167599,145565
-10802442.2129,3098506.5361,0.16275299,0.01231956,0.1109935,35.8913787,145566
